DATE (MM/DD/YYYY),MST,Global CMP22-1 (cor) [W/m^2]
10/19/2020,06:18,4.43539
10/19/2020,06:19,4.98750
10/19/2020,06:20,5.41359
10/19/2020,06:21,5.91607
10/19/2020,06:22,6.59753
10/19/2020,06:23,8.01245
10/19/2020,06:24,9.40920
10/19/2020,06:25,8.31253
10/19/2020,06:26,6.55319
10/19/2020,06:27,6.69504
10/19/2020,06:28,7.35964
10/19/2020,06:29,8.27826
10/19/2020,06:30,9.42706
10/19/2020,06:31,10.7024
10/19/2020,06:32,12.0098
10/19/2020,06:33,13.2571
10/19/2020,06:34,14.6222
10/19/2020,06:35,16.0520
10/19/2020,06:36,17.6384
10/19/2020,06:37,19.2281
10/19/2020,06:38,20.6785
10/19/2020,06:39,21.7990
10/19/2020,06:40,22.7136
10/19/2020,06:41,23.6153
10/19/2020,06:42,24.4676
10/19/2020,06:43,25.2942
10/19/2020,06:44,26.1054
10/19/2020,06:45,26.5558
10/19/2020,06:46,27.0113
10/19/2020,06:47,27.9349
10/19/2020,06:48,28.7973
10/19/2020,06:49,29.5911
10/19/2020,06:50,30.2738
10/19/2020,06:51,30.8898
10/19/2020,06:52,31.4630
10/19/2020,06:53,32.2926
10/19/2020,06:54,33.6373
10/19/2020,06:55,35.3938
10/19/2020,06:56,37.3996
10/19/2020,06:57,39.3942
10/19/2020,06:58,41.0560
10/19/2020,06:59,42.5479
10/19/2020,07:00,44.0475
10/19/2020,07:01,45.7219
10/19/2020,07:02,47.9597
10/19/2020,07:03,49.9949
10/19/2020,07:04,53.6103
10/19/2020,07:05,52.2480
10/19/2020,07:06,52.3080
10/19/2020,07:07,53.3908
10/19/2020,07:08,55.2644
10/19/2020,07:09,57.7640
10/19/2020,07:10,60.1289
10/19/2020,07:11,62.2862
10/19/2020,07:12,64.4582
10/19/2020,07:13,66.6023
10/19/2020,07:14,68.7234
10/19/2020,07:15,71.0822
10/19/2020,07:16,73.8381
10/19/2020,07:17,77.0293
10/19/2020,07:18,80.7687
10/19/2020,07:19,85.2634
10/19/2020,07:20,90.1028
10/19/2020,07:21,94.7685
10/19/2020,07:22,98.7558
10/19/2020,07:23,101.720
10/19/2020,07:24,103.398
10/19/2020,07:25,103.805
10/19/2020,07:26,103.464
10/19/2020,07:27,102.906
10/19/2020,07:28,102.659
10/19/2020,07:29,102.529
10/19/2020,07:30,103.781
10/19/2020,07:31,106.735
10/19/2020,07:32,115.264
10/19/2020,07:33,147.832
10/19/2020,07:34,154.359
10/19/2020,07:35,164.357
10/19/2020,07:36,222.075
10/19/2020,07:37,250.104
10/19/2020,07:38,200.167
10/19/2020,07:39,157.779
10/19/2020,07:40,144.606
10/19/2020,07:41,144.577
10/19/2020,07:42,149.841
10/19/2020,07:43,159.254
10/19/2020,07:44,182.922
10/19/2020,07:45,198.626
10/19/2020,07:46,207.735
10/19/2020,07:47,218.033
10/19/2020,07:48,221.421
10/19/2020,07:49,230.319
10/19/2020,07:50,229.782
10/19/2020,07:51,234.217
10/19/2020,07:52,216.174
10/19/2020,07:53,218.426
10/19/2020,07:54,207.497
